Title,Author,Genre,Tags
crime and punishment,dostoevski fyodor,fiction,fiction dostoevski fyodor
angels   demons,brown dan,fiction,fiction brown dan
argumentative indian  the,sen amartya,nonfict,nonfict sen amartya
sea of poppies,ghosh amitav,fiction,fiction ghosh amitav
idea of justice  the,sen amartya,philosophi,philosophi sen amartya
raisin in the sun  a,hansberri lorrain,fiction,fiction hansberri lorrain
all the president s men,woodward bob,nonfict,nonfict woodward bob
prisoner of birth  a,archer jefferi,fiction,fiction archer jefferi
scoop ,nayar kuldip,nonfict,nonfict nayar kuldip
ahe manohar tari,deshpand sunita,nonfict,nonfict deshpand sunita
last mughal  the,dalrympl william,nonfict,nonfict dalrympl william
social choice   welfare  vol    no   ,variou,tech,tech variou
radiowaril bhashane   shrutika,deshpand p l,nonfict,nonfict deshpand p l
gun gayin awadi,deshpand p l,nonfict,nonfict deshpand p l
aghal paghal,deshpand p l,nonfict,nonfict deshpand p l
maqta e ghalib,garg sanjay,nonfict,nonfict garg sanjay
manasa,kale v p,nonfict,nonfict kale v p
india from midnight to milennium,tharoor shashi,nonfict,nonfict tharoor shashi
great indian novel  the,tharoor shashi,fiction,fiction tharoor shashi
o jerusalem ,lapierr dominiqu,nonfict,nonfict lapierr dominiqu
city of joy  the,lapierr dominiqu,fiction,fiction lapierr dominiqu
freedom at midnight,lapierr dominiqu,nonfict,nonfict lapierr dominiqu
winter of our discontent  the,steinbeck john,fiction,fiction steinbeck john
on education,russel bertrand,philosophi,philosophi russel bertrand
free will,harri sam,nonfict,nonfict harri sam
bookless in baghdad,tharoor shashi,nonfict,nonfict tharoor shashi
case of the lame canary  the,gardner earl stanley,fiction,fiction gardner earl stanley
theory of everything  the,hawk stephen,scienc,scienc hawk stephen
new markets   other essays,drucker peter,scienc,scienc drucker peter
electric universe,bodani david,scienc,scienc bodani david
hunchback of notre dame  the,hugo victor,fiction,fiction hugo victor
burning bright,steinbeck john,fiction,fiction steinbeck john
age of discontuinity  the,drucker peter,nonfict,nonfict drucker peter
doctor in the nude,gordon richard,fiction,fiction gordon richard
down and out in paris   london,orwel georg,nonfict,nonfict orwel georg
identity   violence,sen amartya,philosophi,philosophi sen amartya
beyond the three seas,dalrympl william,nonfict,nonfict dalrympl william
talking straight,iacoca lee,nonfict,nonfict iacoca lee
maugham s collected short stories  vol  ,maugham william,fiction,fiction maugham william
phantom of manhattan  the,forsyth frederick,fiction,fiction forsyth frederick
ashenden of the british agent,maugham william,fiction,fiction maugham william
zen   the art of motorcycle maintenance,pirsig robert,philosophi,philosophi pirsig robert
great war for civilization  the,fisk robert,nonfict,nonfict fisk robert
we the living,rand ayn,fiction,fiction rand ayn
artist and the mathematician  the,aczel amir,scienc,scienc aczel amir
history of western philosophy,russel bertrand,philosophi,philosophi russel bertrand
rationality   freedom,sen amartya,scienc,scienc sen amartya
clash of civilizations and remaking of the world order,huntington samuel,nonfict,nonfict huntington samuel
uncommon wisdom,capra fritjof,nonfict,nonfict capra fritjof
one,bach richard,nonfict,nonfict bach richard
to sir with love,braithwait,fiction,fiction braithwait
half a life,naipaul v,fiction,fiction naipaul v
discovery of india  the,nehru jawaharl,nonfict,nonfict nehru jawaharl
apulki,deshpand p l,nonfict,nonfict deshpand p l
unpopular essays,russel bertrand,philosophi,philosophi russel bertrand
deceiver  the,forsyth frederick,fiction,fiction forsyth frederick
veil  secret wars of the cia,woodward bob,nonfict,nonfict woodward bob
char shabda,deshpand p l,nonfict,nonfict deshpand p l
rosy is my relative,durrel gerald,fiction,fiction durrel gerald
moon and sixpence  the,maugham william,fiction,fiction maugham william
short history of the world  a,well h g,nonfict,nonfict well h g
trembling of a leaf  the,maugham william,fiction,fiction maugham william
doctor on the brain,gordon richard,fiction,fiction gordon richard
simpsons   their mathematical secrets,singh simon,scienc,scienc singh simon
pattern classification,duda hart,tech,tech duda hart
from beirut to jerusalem,friedman thoma,nonfict,nonfict friedman thoma
code book  the,singh simon,scienc,scienc singh simon
age of the warrior  the,fisk robert,nonfict,nonfict fisk robert
numbers behind numb rs  the,devlin keith,scienc,scienc devlin keith
life in letters  a,steinbeck john,nonfict,nonfict steinbeck john
information  the,gleick jame,scienc,scienc gleick jame
elements of information theory,thoma joy,tech,tech thoma joy
power electronics   rashid,rashid muhammad,tech,tech rashid muhammad
power electronics   mohan,mohan ned,tech,tech mohan ned
neural networks,haykin simon,tech,tech haykin simon
grapes of wrath  the,steinbeck john,fiction,fiction steinbeck john
vyakti ani valli,deshpand p l,nonfict,nonfict deshpand p l
statistical learning theory,vapnik vladimir,tech,tech vapnik vladimir
empire of the mughal   the tainted throne,rutherford alex,nonfict,nonfict rutherford alex
empire of the mughal   brothers at war,rutherford alex,nonfict,nonfict rutherford alex
empire of the mughal   ruler of the world,rutherford alex,nonfict,nonfict rutherford alex
empire of the mughal   the serpent s tooth,rutherford alex,nonfict,nonfict rutherford alex
empire of the mughal   raiders from the north,rutherford alex,nonfict,nonfict rutherford alex
mossad,baz zohar michael,nonfict,nonfict baz zohar michael
jim corbett omnibus,corbett jim,nonfict,nonfict corbett jim
      leagues under the sea,vern jule,fiction,fiction vern jule
batatyachi chal,deshpand p l,fiction,fiction deshpand p l
hafasavnuk,deshpand p l,fiction,fiction deshpand p l
urlasurla,deshpand p l,fiction,fiction deshpand p l
pointers in c,kanetkar yashwant,tech,tech kanetkar yashwant
cathedral and the bazaar  the,raymond eric,tech,tech raymond eric
design with opamps,franco sergio,tech,tech franco sergio
think complexity,downey allen,tech,tech downey allen
devil s advocate  the,west morri,fiction,fiction west morri
ayn rand answers,rand ayn,philosophi,philosophi rand ayn
philosophy  who needs it,rand ayn,philosophi,philosophi rand ayn
data analysis with open source tools,janert phillip,tech,tech janert phillip
broca s brain,sagan carl,scienc,scienc sagan carl
men of mathematics,bell e,scienc,scienc bell e
oxford book of modern science writing,dawkin richard,scienc,scienc dawkin richard
justice  judiciary and democracy,ranjan sudhanshu,nonfict,nonfict ranjan sudhanshu
arthashastra  the,kautiyla,philosophi,philosophi kautiyla
we the people,palkhivala,philosophi,philosophi palkhivala
we the nation,palkhivala,philosophi,philosophi palkhivala
courtroom genius  the,sorabje,nonfict,nonfict sorabje
dongri to dubai,zaidi hussain,nonfict,nonfict zaidi hussain
history of england  foundation,ackroyd peter,nonfict,nonfict ackroyd peter
city of djinns,dalrympl william,nonfict,nonfict dalrympl william
india s legal system,nariman,nonfict,nonfict nariman
more tears to cry,sassoon jean,fiction,fiction sassoon jean
ropemaker  the,dickinson peter,fiction,fiction dickinson peter
angels   demons,brown dan,fiction,fiction brown dan
prince  the,machiavelli,fiction,fiction machiavelli
eyeless in gaza,huxley aldou,fiction,fiction huxley aldou
tales of beedle the bard,rowl j k,fiction,fiction rowl j k
girl with the dragon tattoo,larsson steig,fiction,fiction larsson steig
girl who kicked the hornet s nest,larsson steig,fiction,fiction larsson steig
girl who played with fire,larsson steig,fiction,fiction larsson steig
structure and randomness,tao terenc,scienc,scienc tao terenc
image processing with matlab,eddin steve,tech,tech eddin steve
animal farm,orwel georg,fiction,fiction orwel georg
idiot  the,dostoevski fyodor,fiction,fiction dostoevski fyodor
christmas carol  a,dicken charl,fiction,fiction dicken charl
